field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit
충청북도 괴산군 감물면 오성리 906,,1,rice,1,,0.5,3,5,DJI,20,500,510.7,평
충청북도 괴산군 감물면 오성리 911,,1,rice,1,,0.5,3,5,DJI,20,500,373.2,평
충청북도 괴산군 감물면 오성리 912,,1,rice,1,,0.5,3,5,DJI,20,500,1745.3,평
충청북도 괴산군 감물면 오성리 913,,1,rice,1,,0.5,3,5,DJI,20,500,948,평
충청북도 괴산군 감물면 오성리 915,,1,rice,1,,0.5,3,5,DJI,20,500,1555,평
충청북도 괴산군 감물면 이담리 655,,1,rice,1,,0.5,3,5,DJI,20,500,2743.5,평
충청북도 괴산군 괴산읍 검승리 893,,1,rice,1,,0.5,3,5,DJI,20,500,603.3,평
충청북도 괴산군 괴산읍 검승리 894,,1,rice,1,,0.5,3,5,DJI,20,500,860,평
충청북도 괴산군 괴산읍 검승리 895,,1,rice,1,,0.5,3,5,DJI,20,500,1486.9,평
충청북도 괴산군 괴산읍 검승리 939,,1,rice,1,,0.5,3,5,DJI,20,500,654.3,평
충청북도 괴산군 괴산읍 검승리 958,,1,rice,1,,0.5,3,5,DJI,20,500,2193.1,평
충청북도 괴산군 괴산읍 능촌리 240-4,,1,rice,1,,0.5,3,5,DJI,20,500,630.2,평
충청북도 괴산군 괴산읍 능촌리 504,,1,rice,1,,0.5,3,5,DJI,20,500,424.1,평
충청북도 괴산군 괴산읍 능촌리 505,,1,rice,1,,0.5,3,5,DJI,20,500,738.5,평
충청북도 괴산군 괴산읍 능촌리 578,,1,rice,1,,0.5,3,5,DJI,20,500,824.1,평
충청북도 괴산군 괴산읍 능촌리 960,,1,rice,1,,0.5,3,5,DJI,20,500,914.7,평
충청북도 괴산군 괴산읍 제월리 632,,1,rice,1,,0.5,3,5,DJI,20,500,1733.4,평
충청북도 괴산군 괴산읍 제월리 663,,1,rice,1,,0.5,3,5,DJI,20,500,1426.1,평
충청북도 괴산군 괴산읍 제월리 666,,1,rice,1,,0.5,3,5,DJI,20,500,1017.1,평
충청북도 괴산군 괴산읍 제월리 667,,1,rice,1,,0.5,3,5,DJI,20,500,2099.1,평
충청북도 괴산군 괴산읍 제월리 668,,1,rice,1,,0.5,3,5,DJI,20,500,2065.9,평
충청북도 괴산군 괴산읍 제월리 677,,1,rice,1,,0.5,3,5,DJI,20,500,1325.7,평
충청북도 괴산군 괴산읍 제월리 696,,1,rice,1,,0.5,3,5,DJI,20,500,2947.9,평
충청북도 괴산군 괴산읍 제월리 783,,1,rice,1,,0.5,3,5,DJI,20,500,1869.4,평
충청북도 괴산군 괴산읍 제월리 722,,1,rice,1,,0.5,3,5,DJI,20,500,1547.1,평
충청북도 괴산군 괴산읍 제월리 766,,1,rice,1,,0.5,3,5,DJI,20,500,1348.2,평
충청북도 괴산군 괴산읍 제월리 801,,1,rice,1,,0.5,3,5,DJI,20,500,2885.1,평
충청북도 괴산군 칠성면 율원리 1168,,1,rice,1,,0.5,3,5,DJI,20,500,721.3,평
충청북도 괴산군 칠성면 율원리 1172,,1,rice,1,,0.5,3,5,DJI,20,500,2512.6,평
충청북도 괴산군 칠성면 율원리 1173,,1,rice,1,,0.5,3,5,DJI,20,500,1265,평
충청북도 괴산군 칠성면 율원리 184,,1,rice,1,,0.5,3,5,DJI,20,500,2379.8,평
충청북도 괴산군 칠성면 율원리 191,,1,rice,1,,0.5,3,5,DJI,20,500,1395.2,평
충청북도 괴산군 칠성면 율지리 685,,1,rice,1,,0.5,3,5,DJI,20,500,1322.4,평
충청북도 괴산군 칠성면 율지리 695,,1,rice,1,,0.5,3,5,DJI,20,500,1844.8,평
