field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit
경기도 화성시 만세구 우정읍 이화리 1409,,1,rice,1,,0.5,3,5,DJI,60,1500,1549.5,평
경기도 화성시 만세구 우정읍 이화리 1410,,1,rice,1,,0.5,3,5,DJI,60,1500,1530.7,평
경기도 화성시 만세구 우정읍 이화리 1411,,1,rice,1,,0.5,3,5,DJI,60,1500,1528.9,평
경기도 화성시 만세구 우정읍 이화리 1412,,1,rice,1,,0.5,3,5,DJI,60,1500,1508.8,평
경기도 화성시 만세구 우정읍 이화리 1522,,1,rice,1,,0.5,3,5,DJI,100,1500,1709.7,평
경기도 화성시 만세구 우정읍 이화리 1524,,1,rice,1,,0.5,3,5,DJI,100,1500,1765.9,평
경기도 화성시 만세구 우정읍 이화리 1525,,1,rice,1,,0.5,3,5,DJI,60,1500,1360.5,평
경기도 화성시 만세구 우정읍 이화리 1526,,1,rice,1,,0.5,3,5,DJI,60,1500,1621.8,평
경기도 화성시 만세구 우정읍 이화리 1536,,1,rice,1,,0.5,3,5,DJI,100,1500,1607.1,평
경기도 화성시 만세구 우정읍 이화리 1537,,1,rice,1,,0.5,3,5,DJI,100,1500,1407.4,평
경기도 화성시 만세구 우정읍 이화리 1539,,1,rice,1,,0.5,3,5,DJI,100,1500,2354.8,평
경기도 화성시 만세구 우정읍 이화리 1563,,1,rice,1,,0.5,3,5,DJI,60,1500,1557.9,평
경기도 화성시 만세구 우정읍 이화리 1564,,1,rice,1,,0.5,3,5,DJI,60,1500,1580.5,평
경기도 화성시 만세구 장안면 노진리 1477,,1,rice,1,,0.5,3,5,DJI,60,1500,2352.9,평
경기도 화성시 만세구 장안면 노진리 1481,,1,rice,1,,0.5,3,5,DJI,60,1500,1951.4,평
경기도 화성시 만세구 장안면 독정리 1843,,1,rice,1,,0.5,3,5,DJI,70,1200,1130.8,평
경기도 화성시 만세구 장안면 독정리 1844,,1,rice,1,,0.5,3,5,DJI,70,1200,2498,평
경기도 화성시 만세구 장안면 독정리 1846,,1,rice,1,,0.5,3,5,DJI,70,1200,2218.7,평
경기도 화성시 만세구 장안면 독정리 1848,,1,rice,1,,0.5,3,5,DJI,70,1200,2555.2,평
경기도 화성시 만세구 장안면 장안리 2248,,1,rice,1,,0.5,3,5,DJI,60,1500,2943.4,평
경기도 화성시 만세구 장안면 장안리 3059,,1,rice,1,,0.5,3,5,DJI,70,1200,3638.6,평
경기도 화성시 만세구 장안면 장안리 3067,,1,rice,1,,0.5,3,5,DJI,70,1200,2517.7,평
