field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit
HSR11,60,1.2,rice,1,,0.5,3,5,DJI,,,1544.3,평
HSR12,60,0,rice,1,,0.5,3,5,DJI,,,1558.7,평
HSR13,60,1.2,rice,1,,0.5,3,5,DJI,,,1495.7,평
HSR14,60,1.2,rice,1,,0.5,3,5,DJI,,,1513.6,평
HSR1,60,1.2,rice,1,,0.5,3,5,DJI,,,1562.7,평
HSR2,40,1.2,rice,1,,0.5,3,5,DJI,,,1570.1,평
HSR3,20,0,rice,1,,0.5,3,5,DJI,,,1540.4,평
HSR4,20,0,rice,1,,0.5,3,5,DJI,,,1554.9,평
HSR6,60,1.2,rice,1,,0.5,3,5,DJI,,,1485.8,평
HSR7,40,1.2,rice,1,,0.5,3,5,DJI,,,1565.2,평
HSR8,60,0,rice,1,,0.5,3,5,DJI,,,1523.6,평
