field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit,overage_factor
SM13,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM14,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM15,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM16,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM17,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM18,400,1,rice,5,,0.5,3,5,XAG,,,,,
SM19,500,1,rice,5,,0.5,3,5,XAG,,,,,
SM20,500,1,rice,5,,0.5,3,5,XAG,,,,,
SM21,500,1,rice,5,,0.5,3,5,XAG,,,,,
SM22,500,1,rice,5,,0.5,3,5,XAG,,,,,
SM23,500,1,rice,5,,0.5,3,5,XAG,,,,,
SM24,500,1,rice,5,,0.5,3,5,XAG,,,,,
