field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit
SM01(A-12),900,1,rice,2,,0.5,3,5,DJI,,,9097,평
SM02(A-11),900,1,rice,2,,0.5,3,5,DJI,,,17348,평
SM03(A-10),900,1,rice,2,,0.5,3,5,DJI,,,17297,평
SM04(A-09),900,1,rice,2,,0.5,3,5,DJI,,,17409,평
SM05(A-08),900,1,rice,2,,0.5,3,5,DJI,,,17472,평
SM06(A-07),900,1,rice,2,,0.5,3,5,DJI,,,17283,평
SM07(A-06),900,1,rice,2,,0.5,3,5,DJI,,,17373,평
SM08(A-05),900,1,rice,2,,0.5,3,5,DJI,,,17272,평
SM09(A-04),900,1,rice,2,,0.5,3,5,DJI,,,17514,평
SM10(A-03),900,1,rice,2,,0.5,3,5,DJI,,,17457,평
SM11(A-02),900,1,rice,2,,0.5,3,5,DJI,,,17757,평
SM12(A-01),900,1,rice,2,,0.5,3,5,DJI,,,14560,평
